"TotalNumber","CorrectNumber","TotalHelixesNumber","CorrectHelixesNumber","TotalStrandsNumber","CorrectStrandsNumber","TotalCoilsNumber","CorrectCoilsNumber","TestType","NumberOfStates"
57636,21010,19350,5635,13134,2353,25152,13022,Uniform Growth,1
57636,19275,19350,9427,13134,4472,25152,5376,Uniform Growth,2
57636,18555,19350,6946,13134,3379,25152,8230,Uniform Growth,3
57636,18915,19350,2571,13134,3501,25152,12843,Uniform Growth,4
57636,18121,19350,6745,13134,3531,25152,7845,Uniform Growth,5
57636,16339,19350,7227,13134,3196,25152,5916,Uniform Growth,6
57636,18253,19350,10617,13134,3248,25152,4388,Uniform Growth,7
57636,17740,19350,8056,13134,4536,25152,5148,Uniform Growth,8
57636,18294,19350,5951,13134,3050,25152,9293,Uniform Growth,9
57636,19863,19350,5880,13134,4785,25152,9198,Uniform Growth,10
57636,19452,19350,5893,13134,4948,25152,8611,Uniform Growth,11
57636,17555,19350,4475,13134,5253,25152,7827,Uniform Growth,12
57636,21713,19350,8229,13134,4172,25152,9312,Uniform Growth,13
57636,20615,19350,7839,13134,6770,25152,6006,Uniform Growth,14
57636,18437,19350,4868,13134,6282,25152,7287,Uniform Growth,15
57636,19799,19350,6442,13134,3619,25152,9738,Uniform Growth,16
