"TotalNumber","CorrectNumber","TotalHelixesNumber","CorrectHelixesNumber","TotalStrandsNumber","CorrectStrandsNumber","TotalCoilsNumber","CorrectCoilsNumber","TestType","NumberOfStates"
54034,18290,18290,18290,12333,0,23411,0,Uniform Growth,1
54034,18273,18290,18273,12333,0,23411,0,Uniform Growth,2
54034,16384,18290,9969,12333,6415,23411,0,Uniform Growth,3
54034,23411,18290,0,12333,0,23411,23411,Uniform Growth,4
54034,22367,18290,0,12333,1253,23411,21114,Uniform Growth,5
54034,23411,18290,18,12333,0,23411,23393,Uniform Growth,6
54034,23095,18290,526,12333,0,23411,22569,Uniform Growth,7
54034,18290,18290,18290,12333,0,23411,0,Uniform Growth,8
54034,14033,18290,3022,12333,9844,23411,1167,Uniform Growth,9
54034,23285,18290,0,12333,261,23411,23024,Uniform Growth,10
54034,12351,18290,0,12333,12333,23411,18,Uniform Growth,11
54034,18406,18290,18217,12333,4,23411,185,Uniform Growth,12
54034,12623,18290,408,12333,12215,23411,0,Uniform Growth,13
54034,23411,18290,0,12333,0,23411,23411,Uniform Growth,14
54034,23411,18290,0,12333,0,23411,23411,Uniform Growth,15
54034,23411,18290,0,12333,0,23411,23411,Uniform Growth,16
