"TotalQ3","HelixesQ3","StrandsQ3","CoilsQ3","TestType","NumberOfStates"
0.338490580005182,1,0,0,Uniform Growth,1
0.338175963282378,0.99907053034445,0,0,Uniform Growth,2
0.303216493319021,0.54505194095134,0.520149193221438,0,Uniform Growth,3
0.433264241033423,0,0,1,Uniform Growth,4
0.413943072880039,0,0.101597340468661,0.901883729870574,Uniform Growth,5
0.433264241033423,0.000984144341170038,0,0.999231130665072,Uniform Growth,6
0.427416071362476,0.0287588846364133,0,0.964034001110589,Uniform Growth,7
0.338490580005182,1,0,0,Uniform Growth,8
0.259706851241811,0.165226899945325,0.798183734695532,0.049848361881167,Uniform Growth,9
0.430932375911463,0,0.0211627341279494,0.983469309299047,Uniform Growth,10
0.228578302550246,0,1,0.000768869334928025,Uniform Growth,11
0.340637376466669,0.996008747949699,0.000324333090083516,0.00790226816453804,Uniform Growth,12
0.233612170115113,0.0223072717331875,0.990432173842536,0,Uniform Growth,13
0.433264241033423,0,0,1,Uniform Growth,14
0.433264241033423,0,0,1,Uniform Growth,15
0.433264241033423,0,0,1,Uniform Growth,16
